number,value,params_drop_out_rate_1,params_drop_out_rate_2,params_drop_out_rate_3,params_lr,params_num_fc,params_num_filter_1,params_num_filter_2,params_num_filter_3,params_optimizer
22,0.7702702702702703,0.1,0.15000000000000002,0.1,0.008731428144046833,4,20,16,20,Adam
64,0.7783783778950975,0.2,0.1,0.25,0.005364533097950345,6,8,12,32,RMSprop
3,0.7837837813673793,0.35,0.35,0.25,0.00045635713798208237,6,16,16,12,Adam
0,0.7837837849919861,0.30000000000000004,0.2,0.35,0.00023589137648150635,8,24,12,8,Adam
4,0.7864864835062543,0.25,0.25,0.1,0.00023499322154972444,12,28,12,16,Adam
2,0.7918918906031428,0.2,0.15000000000000002,0.15000000000000002,0.0005289943741212551,4,24,20,24,Adam
72,0.7932432370411383,0.15000000000000002,0.1,0.15000000000000002,0.004443650901578848,6,12,20,32,Adam
29,0.793243240263011,0.25,0.1,0.2,0.0037701702937430826,10,28,12,8,RMSprop
60,0.7945945915338155,0.25,0.25,0.25,0.003083342525182499,2,12,16,12,RMSprop
23,0.7959459432073541,0.25,0.2,0.2,0.0029697104451754056,4,16,12,16,Adam
95,0.7972972936726905,0.25,0.15000000000000002,0.15000000000000002,0.0022431447974543407,10,12,28,20,RMSprop
79,0.797297295686361,0.2,0.1,0.15000000000000002,0.0035121259961116025,6,16,16,28,RMSprop
26,0.7986486473598996,0.35,0.2,0.2,0.008153285888121767,4,8,28,20,Adam
86,0.7986486473598996,0.25,0.1,0.15000000000000002,0.0015013685875420986,8,12,32,24,RMSprop
21,0.8013513474851042,0.2,0.15000000000000002,0.15000000000000002,0.000899691941752245,4,20,20,20,Adam
1,0.8013513499015087,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.024987751386014653,6,24,16,4,SGD
43,0.8027026975477064,0.30000000000000004,0.1,0.2,0.0020380248988844715,8,8,8,24,RMSprop
47,0.8027027011723131,0.35,0.1,0.2,0.00542460045550549,6,8,12,32,RMSprop
39,0.8040540508321814,0.25,0.1,0.2,0.004739744505671847,6,4,16,28,RMSprop
68,0.80540540250572,0.1,0.15000000000000002,0.15000000000000002,0.007544189457298131,6,12,20,32,Adam
90,0.8067567533737904,0.2,0.1,0.15000000000000002,0.0020866086241112273,10,16,28,24,RMSprop
27,0.8067567557901949,0.25,0.1,0.15000000000000002,0.003641521741061834,6,16,12,12,RMSprop
88,0.8081081050473291,0.25,0.1,0.15000000000000002,0.002221713774803,10,12,28,24,RMSprop
65,0.8081081074637335,0.25,0.1,0.15000000000000002,0.001162367227392039,8,12,16,24,RMSprop
82,0.8094594551099313,0.25,0.1,0.2,0.0016432940541465338,8,8,32,24,RMSprop
37,0.8108108104080767,0.25,0.1,0.15000000000000002,0.0019123839405334585,6,8,16,28,RMSprop
84,0.8121621576515404,0.25,0.1,0.15000000000000002,0.0027110448315126132,8,8,28,24,RMSprop
17,0.8148648609986177,0.15000000000000002,0.2,0.15000000000000002,0.0026605400670429197,4,4,12,12,Adam
57,0.8162162126721563,0.25,0.1,0.25,0.0033986092396969822,6,8,12,32,RMSprop
